"","extent","service","color","ee_r264_name","iso3","continent","region_wb","income_grp","name_long","metric","value"
"23",8,"Coastal Protection","#9e9ac8","United Arab Emirates","ARE","Asia","Middle East & North Africa","2. High income: nonOECD","United Arab Emirates","year_2020",0.773277461528778
"24",8,"Coastal Protection","#9e9ac8","United Arab Emirates","ARE","Asia","Middle East & North Africa","2. High income: nonOECD","United Arab Emirates","pct_change",-11.4440267271135
"25",9,"Coastal Protection","#9e9ac8","Argentina","ARG","South America","Latin America & Caribbean","3. Upper middle income","Argentina","year_1992",1.21535181999207
"26",9,"Coastal Protection","#9e9ac8","Argentina","ARG","South America","Latin America & Caribbean","3. Upper middle income","Argentina","year_2020",1.21741700172424
"27",9,"Coastal Protection","#9e9ac8","Argentina","ARG","South America","Latin America & Caribbean","3. Upper middle income","Argentina","pct_change",0.169924601107146
"28",10,"Coastal Protection","#9e9ac8","Armenia","ARM","Asia","Europe & Central Asia","4. Lower middle income","Armenia","year_1992",NA
"29",10,"Coastal Protection","#9e9ac8","Armenia","ARM","Asia","Europe & Central Asia","4. Lower middle income","Armenia","year_2020",NA
"30",10,"Coastal Protection","#9e9ac8","Armenia","ARM","Asia","Europe & Central Asia","4. Lower middle income","Armenia","pct_change",NA
"31",11,"Coastal Protection","#9e9ac8","American Samoa","ASM","Oceania","East Asia & Pacific","3. Upper middle income","American Samoa","year_1992",1.01925313472748
"32",11,"Coastal Protection","#9e9ac8","American Samoa","ASM","Oceania","East Asia & Pacific","3. Upper middle income","American Samoa","year_2020",1.01925313472748
"33",11,"Coastal Protection","#9e9ac8","American Samoa","ASM","Oceania","East Asia & Pacific","3. Upper middle income","American Samoa","pct_change",0
"34",12,"Coastal Protection","#9e9ac8","Antarctica","ATA","Antarctica","Antarctica","2. High income: nonOECD","Antarctica","year_1992",NA
"35",12,"Coastal Protection","#9e9ac8","Antarctica","ATA","Antarctica","Antarctica","2. High income: nonOECD","Antarctica","year_2020",NA
"36",12,"Coastal Protection","#9e9ac8","Antarctica","ATA","Antarctica","Antarctica","2. High income: nonOECD","Antarctica","pct_change",NA
"37",13,"Coastal Protection","#9e9ac8","French Southern Territories","ATF","Seven seas (open ocean)","Sub-Saharan Africa","2. High income: nonOECD","French Southern and Antarctic Lands","year_1992",0.742113888263702
"38",13,"Coastal Protection","#9e9ac8","French Southern Territories","ATF","Seven seas (open ocean)","Sub-Saharan Africa","2. High income: nonOECD","French Southern and Antarctic Lands","year_2020",0.742113888263702
"39",13,"Coastal Protection","#9e9ac8","French Southern Territories","ATF","Seven seas (open ocean)","Sub-Saharan Africa","2. High income: nonOECD","French Southern and Antarctic Lands","pct_change",0
"40",14,"Coastal Protection","#9e9ac8","Antigua and Barbuda","ATG","North America","Latin America & Caribbean","3. Upper middle income","Antigua and Barbuda","year_1992",0.993269920349121
"41",14,"Coastal Protection","#9e9ac8","Antigua and Barbuda","ATG","North America","Latin America & Caribbean","3. Upper middle income","Antigua and Barbuda","year_2020",0.983792185783386
"42",14,"Coastal Protection","#9e9ac8","Antigua and Barbuda","ATG","North America","Latin America & Caribbean","3. Upper middle income","Antigua and Barbuda","pct_change",-0.954195266721022
"43",15,"Coastal Protection","#9e9ac8","Australia","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia","year_1992",1.32767486572266
"44",15,"Coastal Protection","#9e9ac8","Australia","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia","year_2020",1.31599473953247
"45",15,"Coastal Protection","#9e9ac8","Australia","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia","pct_change",-0.879742962056636
"46",16,"Coastal Protection","#9e9ac8","Austria","AUT","Europe","Europe & Central Asia","1. High income: OECD","Austria","year_1992",NA
"47",16,"Coastal Protection","#9e9ac8","Austria","AUT","Europe","Europe & Central Asia","1. High income: OECD","Austria","year_2020",NA
"48",16,"Coastal Protection","#9e9ac8","Austria","AUT","Europe","Europe & Central Asia","1. High income: OECD","Austria","pct_change",NA
"49",17,"Coastal Protection","#9e9ac8","Azerbaijan","AZE","Asia","Europe & Central Asia","3. Upper middle income","Azerbaijan","year_1992",NA
"50",17,"Coastal Protection","#9e9ac8","Azerbaijan","AZE","Asia","Europe & Central Asia","3. Upper middle income","Azerbaijan","year_2020",NA
"51",17,"Coastal Protection","#9e9ac8","Azerbaijan","AZE","Asia","Europe & Central Asia","3. Upper middle income","Azerbaijan","pct_change",NA
"52",18,"Coastal Protection","#9e9ac8","Burundi","BDI","Africa","Sub-Saharan Africa","5. Low income","Burundi","year_1992",NA
"53",18,"Coastal Protection","#9e9ac8","Burundi","BDI","Africa","Sub-Saharan Africa","5. Low income","Burundi","year_2020",NA
"54",18,"Coastal Protection","#9e9ac8","Burundi","BDI","Africa","Sub-Saharan Africa","5. Low income","Burundi","pct_change",NA
"55",19,"Coastal Protection","#9e9ac8","Belgium","BEL","Europe","Europe & Central Asia","1. High income: OECD","Belgium","year_1992",0.726180970668793
"56",19,"Coastal Protection","#9e9ac8","Belgium","BEL","Europe","Europe & Central Asia","1. High income: OECD","Belgium","year_2020",0.790676414966583
"57",19,"Coastal Protection","#9e9ac8","Belgium","BEL","Europe","Europe & Central Asia","1. High income: OECD","Belgium","pct_change",8.88145612496449
"58",20,"Coastal Protection","#9e9ac8","Benin","BEN","Africa","Sub-Saharan Africa","5. Low income","Benin","year_1992",0.190318509936333
"59",20,"Coastal Protection","#9e9ac8","Benin","BEN","Africa","Sub-Saharan Africa","5. Low income","Benin","year_2020",0.173724949359894
"60",20,"Coastal Protection","#9e9ac8","Benin","BEN","Africa","Sub-Saharan Africa","5. Low income","Benin","pct_change",-8.71883695494991
"61",21,"Coastal Protection","#9e9ac8","Bonaire, Sint Eustatius and Saba","BES","Seven seas (open ocean)","Latin America & Caribbean","2. High income: nonOECD","Bonaire, Sint Eustatius and Saba","year_1992",0.968588709831238
"62",21,"Coastal Protection","#9e9ac8","Bonaire, Sint Eustatius and Saba","BES","Seven seas (open ocean)","Latin America & Caribbean","2. High income: nonOECD","Bonaire, Sint Eustatius and Saba","year_2020",1.00009477138519
"63",21,"Coastal Protection","#9e9ac8","Bonaire, Sint Eustatius and Saba","BES","Seven seas (open ocean)","Latin America & Caribbean","2. High income: nonOECD","Bonaire, Sint Eustatius and Saba","pct_change",3.25278017740279
"64",22,"Coastal Protection","#9e9ac8","Burkina Faso","BFA","Africa","Sub-Saharan Africa","5. Low income","Burkina Faso","year_1992",NA
"65",22,"Coastal Protection","#9e9ac8","Burkina Faso","BFA","Africa","Sub-Saharan Africa","5. Low income","Burkina Faso","year_2020",NA
"66",22,"Coastal Protection","#9e9ac8","Burkina Faso","BFA","Africa","Sub-Saharan Africa","5. Low income","Burkina Faso","pct_change",NA
"67",23,"Coastal Protection","#9e9ac8","Bangladesh","BGD","Asia","South Asia","5. Low income","Bangladesh","year_1992",1.79685795307159
"68",23,"Coastal Protection","#9e9ac8","Bangladesh","BGD","Asia","South Asia","5. Low income","Bangladesh","year_2020",1.8520827293396
"69",23,"Coastal Protection","#9e9ac8","Bangladesh","BGD","Asia","South Asia","5. Low income","Bangladesh","pct_change",3.07340801055573
"70",24,"Coastal Protection","#9e9ac8","Bulgaria","BGR","Europe","Europe & Central Asia","3. Upper middle income","Bulgaria","year_1992",1.539475440979
"71",24,"Coastal Protection","#9e9ac8","Bulgaria","BGR","Europe","Europe & Central Asia","3. Upper middle income","Bulgaria","year_2020",1.57439994812012
"72",24,"Coastal Protection","#9e9ac8","Bulgaria","BGR","Europe","Europe & Central Asia","3. Upper middle income","Bulgaria","pct_change",2.26859787506
"73",25,"Coastal Protection","#9e9ac8","Bahrain","BHR","Asia","Middle East & North Africa","2. High income: nonOECD","Bahrain","year_1992",0.710049569606781
"74",25,"Coastal Protection","#9e9ac8","Bahrain","BHR","Asia","Middle East & North Africa","2. High income: nonOECD","Bahrain","year_2020",0.752657949924469
"75",25,"Coastal Protection","#9e9ac8","Bahrain","BHR","Asia","Middle East & North Africa","2. High income: nonOECD","Bahrain","pct_change",6.00076137519302
"76",26,"Coastal Protection","#9e9ac8","Bahamas","BHS","North America","Latin America & Caribbean","2. High income: nonOECD","Bahamas","year_1992",1.32927370071411
"77",26,"Coastal Protection","#9e9ac8","Bahamas","BHS","North America","Latin America & Caribbean","2. High income: nonOECD","Bahamas","year_2020",1.34255719184875
"78",26,"Coastal Protection","#9e9ac8","Bahamas","BHS","North America","Latin America & Caribbean","2. High income: nonOECD","Bahamas","pct_change",0.999304441779287
"79",27,"Coastal Protection","#9e9ac8","Bosnia and Herzegovina","BIH","Europe","Europe & Central Asia","3. Upper middle income","Bosnia and Herzegovina","year_1992",1.89276564121246
"80",27,"Coastal Protection","#9e9ac8","Bosnia and Herzegovina","BIH","Europe","Europe & Central Asia","3. Upper middle income","Bosnia and Herzegovina","year_2020",1.86883652210236
"81",27,"Coastal Protection","#9e9ac8","Bosnia and Herzegovina","BIH","Europe","Europe & Central Asia","3. Upper middle income","Bosnia and Herzegovina","pct_change",-1.26424099154567
"82",28,"Coastal Protection","#9e9ac8","Saint Barthelemy","BLM","North America","Latin America & Caribbean","1. High income: OECD","Saint-Barth̩lemy","year_1992",2.66632342338562
"83",28,"Coastal Protection","#9e9ac8","Saint Barthelemy","BLM","North America","Latin America & Caribbean","1. High income: OECD","Saint-Barth̩lemy","year_2020",2.64684319496155
"84",28,"Coastal Protection","#9e9ac8","Saint Barthelemy","BLM","North America","Latin America & Caribbean","1. High income: OECD","Saint-Barth̩lemy","pct_change",-0.730602606316027
"85",29,"Coastal Protection","#9e9ac8","Belarus","BLR","Europe","Europe & Central Asia","3. Upper middle income","Belarus","year_1992",NA
"86",29,"Coastal Protection","#9e9ac8","Belarus","BLR","Europe","Europe & Central Asia","3. Upper middle income","Belarus","year_2020",NA
"87",29,"Coastal Protection","#9e9ac8","Belarus","BLR","Europe","Europe & Central Asia","3. Upper middle income","Belarus","pct_change",NA
"88",30,"Coastal Protection","#9e9ac8","Belize","BLZ","North America","Latin America & Caribbean","4. Lower middle income","Belize","year_1992",1.57463681697845
"89",30,"Coastal Protection","#9e9ac8","Belize","BLZ","North America","Latin America & Caribbean","4. Lower middle income","Belize","year_2020",1.59807896614075
"90",30,"Coastal Protection","#9e9ac8","Belize","BLZ","North America","Latin America & Caribbean","4. Lower middle income","Belize","pct_change",1.48873371367519
"91",31,"Coastal Protection","#9e9ac8","Bermuda","BMU","North America","North America","2. High income: nonOECD","Bermuda","year_1992",0.580212593078613
"92",31,"Coastal Protection","#9e9ac8","Bermuda","BMU","North America","North America","2. High income: nonOECD","Bermuda","year_2020",0.580212593078613
"93",31,"Coastal Protection","#9e9ac8","Bermuda","BMU","North America","North America","2. High income: nonOECD","Bermuda","pct_change",0
"94",32,"Coastal Protection","#9e9ac8","Bolivia","BOL","South America","Latin America & Caribbean","4. Lower middle income","Bolivia","year_1992",NA
"95",32,"Coastal Protection","#9e9ac8","Bolivia","BOL","South America","Latin America & Caribbean","4. Lower middle income","Bolivia","year_2020",NA
"96",32,"Coastal Protection","#9e9ac8","Bolivia","BOL","South America","Latin America & Caribbean","4. Lower middle income","Bolivia","pct_change",NA
"97",33,"Coastal Protection","#9e9ac8","Brazil","BRA","South America","Latin America & Caribbean","3. Upper middle income","Brazil","year_1992",1.87750029563904
"98",33,"Coastal Protection","#9e9ac8","Brazil","BRA","South America","Latin America & Caribbean","3. Upper middle income","Brazil","year_2020",1.75532376766205
"99",33,"Coastal Protection","#9e9ac8","Brazil","BRA","South America","Latin America & Caribbean","3. Upper middle income","Brazil","pct_change",-6.50740392748675
"100",34,"Coastal Protection","#9e9ac8","Barbados","BRB","North America","Latin America & Caribbean","2. High income: nonOECD","Barbados","year_1992",1.11635410785675
"101",34,"Coastal Protection","#9e9ac8","Barbados","BRB","North America","Latin America & Caribbean","2. High income: nonOECD","Barbados","year_2020",1.14717721939087
"102",34,"Coastal Protection","#9e9ac8","Barbados","BRB","North America","Latin America & Caribbean","2. High income: nonOECD","Barbados","pct_change",2.76105147257408
"103",35,"Coastal Protection","#9e9ac8","Brunei","BRN","Asia","East Asia & Pacific","2. High income: nonOECD","Brunei Darussalam","year_1992",2.35835266113281
"104",35,"Coastal Protection","#9e9ac8","Brunei","BRN","Asia","East Asia & Pacific","2. High income: nonOECD","Brunei Darussalam","year_2020",2.36775350570679
"105",35,"Coastal Protection","#9e9ac8","Brunei","BRN","Asia","East Asia & Pacific","2. High income: nonOECD","Brunei Darussalam","pct_change",0.398619117866146
"106",36,"Coastal Protection","#9e9ac8","Bhutan","BTN","Asia","South Asia","4. Lower middle income","Bhutan","year_1992",NA
"107",36,"Coastal Protection","#9e9ac8","Bhutan","BTN","Asia","South Asia","4. Lower middle income","Bhutan","year_2020",NA
"108",36,"Coastal Protection","#9e9ac8","Bhutan","BTN","Asia","South Asia","4. Lower middle income","Bhutan","pct_change",NA
"109",37,"Coastal Protection","#9e9ac8","Bouvet Island","NOR","Europe","Europe & Central Asia","1. High income: OECD","Norway","year_1992",NA
"110",37,"Coastal Protection","#9e9ac8","Bouvet Island","NOR","Europe","Europe & Central Asia","1. High income: OECD","Norway","year_2020",NA
"111",37,"Coastal Protection","#9e9ac8","Bouvet Island","NOR","Europe","Europe & Central Asia","1. High income: OECD","Norway","pct_change",NA
"112",38,"Coastal Protection","#9e9ac8","Botswana","BWA","Africa","Sub-Saharan Africa","3. Upper middle income","Botswana","year_1992",NA
"113",38,"Coastal Protection","#9e9ac8","Botswana","BWA","Africa","Sub-Saharan Africa","3. Upper middle income","Botswana","year_2020",NA
"114",38,"Coastal Protection","#9e9ac8","Botswana","BWA","Africa","Sub-Saharan Africa","3. Upper middle income","Botswana","pct_change",NA
"115",39,"Coastal Protection","#9e9ac8","Central African Republic","CAF","Africa","Sub-Saharan Africa","5. Low income","Central African Republic","year_1992",NA
"116",39,"Coastal Protection","#9e9ac8","Central African Republic","CAF","Africa","Sub-Saharan Africa","5. Low income","Central African Republic","year_2020",NA
"117",39,"Coastal Protection","#9e9ac8","Central African Republic","CAF","Africa","Sub-Saharan Africa","5. Low income","Central African Republic","pct_change",NA
"118",40,"Coastal Protection","#9e9ac8","Canada","CAN","North America","North America","1. High income: OECD","Canada","year_1992",1.46321904659271
"119",40,"Coastal Protection","#9e9ac8","Canada","CAN","North America","North America","1. High income: OECD","Canada","year_2020",1.45821237564087
"120",40,"Coastal Protection","#9e9ac8","Canada","CAN","North America","North America","1. High income: OECD","Canada","pct_change",-0.342168246340054
"121",41,"Coastal Protection","#9e9ac8","Cocos Islands","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia","year_1992",2.28571033477783
"122",41,"Coastal Protection","#9e9ac8","Cocos Islands","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia","year_2020",2.28571033477783
"123",41,"Coastal Protection","#9e9ac8","Cocos Islands","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia","pct_change",0
"124",42,"Coastal Protection","#9e9ac8","Switzerland","CHE","Europe","Europe & Central Asia","1. High income: OECD","Switzerland","year_1992",NA
"125",42,"Coastal Protection","#9e9ac8","Switzerland","CHE","Europe","Europe & Central Asia","1. High income: OECD","Switzerland","year_2020",NA
"126",42,"Coastal Protection","#9e9ac8","Switzerland","CHE","Europe","Europe & Central Asia","1. High income: OECD","Switzerland","pct_change",NA
"127",43,"Coastal Protection","#9e9ac8","Chile","CHL","South America","Latin America & Caribbean","3. Upper middle income","Chile","year_1992",2.09060192108154
"128",43,"Coastal Protection","#9e9ac8","Chile","CHL","South America","Latin America & Caribbean","3. Upper middle income","Chile","year_2020",2.09364604949951
"129",43,"Coastal Protection","#9e9ac8","Chile","CHL","South America","Latin America & Caribbean","3. Upper middle income","Chile","pct_change",0.145610141618699
"130",44,"Coastal Protection","#9e9ac8","China","CHN","Asia","East Asia & Pacific","3. Upper middle income","China","year_1992",0.93825089931488
"131",44,"Coastal Protection","#9e9ac8","China","CHN","Asia","East Asia & Pacific","3. Upper middle income","China","year_2020",0.914160668849945
"132",44,"Coastal Protection","#9e9ac8","China","CHN","Asia","East Asia & Pacific","3. Upper middle income","China","pct_change",-2.56756806548504
"133",45,"Coastal Protection","#9e9ac8","Cote d'lvoire","CIV","Africa","Sub-Saharan Africa","4. Lower middle income","C̫te d'Ivoire","year_1992",1.77687406539917
"134",45,"Coastal Protection","#9e9ac8","Cote d'lvoire","CIV","Africa","Sub-Saharan Africa","4. Lower middle income","C̫te d'Ivoire","year_2020",1.81598961353302
"135",45,"Coastal Protection","#9e9ac8","Cote d'lvoire","CIV","Africa","Sub-Saharan Africa","4. Lower middle income","C̫te d'Ivoire","pct_change",2.20136862232062
"136",46,"Coastal Protection","#9e9ac8","Cameroon","CMR","Africa","Sub-Saharan Africa","4. Lower middle income","Cameroon","year_1992",2.33065605163574
"137",46,"Coastal Protection","#9e9ac8","Cameroon","CMR","Africa","Sub-Saharan Africa","4. Lower middle income","Cameroon","year_2020",2.33484792709351
"138",46,"Coastal Protection","#9e9ac8","Cameroon","CMR","Africa","Sub-Saharan Africa","4. Lower middle income","Cameroon","pct_change",0.17985817576248
"139",47,"Coastal Protection","#9e9ac8","Democratic Republic of the Congo","COD","Africa","Sub-Saharan Africa","5. Low income","Democratic Republic of the Congo","year_1992",1.52645623683929
"140",47,"Coastal Protection","#9e9ac8","Democratic Republic of the Congo","COD","Africa","Sub-Saharan Africa","5. Low income","Democratic Republic of the Congo","year_2020",1.80005729198456
"141",47,"Coastal Protection","#9e9ac8","Democratic Republic of the Congo","COD","Africa","Sub-Saharan Africa","5. Low income","Democratic Republic of the Congo","pct_change",17.9239370603768
"142",48,"Coastal Protection","#9e9ac8","Republic of the Congo","COG","Africa","Sub-Saharan Africa","4. Lower middle income","Republic of the Congo","year_1992",1.91336214542389
"143",48,"Coastal Protection","#9e9ac8","Republic of the Congo","COG","Africa","Sub-Saharan Africa","4. Lower middle income","Republic of the Congo","year_2020",2.3578929901123
"144",48,"Coastal Protection","#9e9ac8","Republic of the Congo","COG","Africa","Sub-Saharan Africa","4. Lower middle income","Republic of the Congo","pct_change",23.2329695531803
"145",49,"Coastal Protection","#9e9ac8","Cook Islands","COK","Oceania","East Asia & Pacific","3. Upper middle income","Cook Islands","year_1992",1.46297550201416
"146",49,"Coastal Protection","#9e9ac8","Cook Islands","COK","Oceania","East Asia & Pacific","3. Upper middle income","Cook Islands","year_2020",1.46297550201416
"147",49,"Coastal Protection","#9e9ac8","Cook Islands","COK","Oceania","East Asia & Pacific","3. Upper middle income","Cook Islands","pct_change",0
"148",50,"Coastal Protection","#9e9ac8","Colombia","COL","South America","Latin America & Caribbean","3. Upper middle income","Colombia","year_1992",2.13008713722229
"149",50,"Coastal Protection","#9e9ac8","Colombia","COL","South America","Latin America & Caribbean","3. Upper middle income","Colombia","year_2020",2.12474536895752
"150",50,"Coastal Protection","#9e9ac8","Colombia","COL","South America","Latin America & Caribbean","3. Upper middle income","Colombia","pct_change",-0.250776983317965
"151",51,"Coastal Protection","#9e9ac8","Comoros","COM","Africa","Sub-Saharan Africa","5. Low income","Comoros","year_1992",1.15379798412323
"152",51,"Coastal Protection","#9e9ac8","Comoros","COM","Africa","Sub-Saharan Africa","5. Low income","Comoros","year_2020",1.15279912948608
"153",51,"Coastal Protection","#9e9ac8","Comoros","COM","Africa","Sub-Saharan Africa","5. Low income","Comoros","pct_change",-0.0865710159746051
"154",52,"Coastal Protection","#9e9ac8","Cabo Verde","CPV","Africa","Sub-Saharan Africa","4. Lower middle income","Republic of Cabo Verde","year_1992",1.92311084270477
"155",52,"Coastal Protection","#9e9ac8","Cabo Verde","CPV","Africa","Sub-Saharan Africa","4. Lower middle income","Republic of Cabo Verde","year_2020",2.01657390594482
"156",52,"Coastal Protection","#9e9ac8","Cabo Verde","CPV","Africa","Sub-Saharan Africa","4. Lower middle income","Republic of Cabo Verde","pct_change",4.85999356691258
"157",53,"Coastal Protection","#9e9ac8","Costa Rica","CRI","North America","Latin America & Caribbean","3. Upper middle income","Costa Rica","year_1992",1.78277206420898
"158",53,"Coastal Protection","#9e9ac8","Costa Rica","CRI","North America","Latin America & Caribbean","3. Upper middle income","Costa Rica","year_2020",1.79801189899445
"159",53,"Coastal Protection","#9e9ac8","Costa Rica","CRI","North America","Latin America & Caribbean","3. Upper middle income","Costa Rica","pct_change",0.854839218732768
"160",54,"Coastal Protection","#9e9ac8","Cuba","CUB","North America","Latin America & Caribbean","3. Upper middle income","Cuba","year_1992",1.39527106285095
"161",54,"Coastal Protection","#9e9ac8","Cuba","CUB","North America","Latin America & Caribbean","3. Upper middle income","Cuba","year_2020",1.40677797794342
"162",54,"Coastal Protection","#9e9ac8","Cuba","CUB","North America","Latin America & Caribbean","3. Upper middle income","Cuba","pct_change",0.824708216119527
"163",55,"Coastal Protection","#9e9ac8","Curacao","CUW","North America","Latin America & Caribbean","2. High income: nonOECD","Cura̤ao","year_1992",1.09493100643158
"164",55,"Coastal Protection","#9e9ac8","Curacao","CUW","North America","Latin America & Caribbean","2. High income: nonOECD","Cura̤ao","year_2020",1.11773288249969
"165",55,"Coastal Protection","#9e9ac8","Curacao","CUW","North America","Latin America & Caribbean","2. High income: nonOECD","Cura̤ao","pct_change",2.08249432468097
"166",56,"Coastal Protection","#9e9ac8","Christmas Island","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia","year_1992",1.27453100681305
"167",56,"Coastal Protection","#9e9ac8","Christmas Island","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia","year_2020",1.27453100681305
"168",56,"Coastal Protection","#9e9ac8","Christmas Island","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia","pct_change",0
"169",57,"Coastal Protection","#9e9ac8","Cayman Islands","CYM","North America","Latin America & Caribbean","2. High income: nonOECD","Cayman Islands","year_1992",1.61201238632202
"170",57,"Coastal Protection","#9e9ac8","Cayman Islands","CYM","North America","Latin America & Caribbean","2. High income: nonOECD","Cayman Islands","year_2020",1.62309491634369
"171",57,"Coastal Protection","#9e9ac8","Cayman Islands","CYM","North America","Latin America & Caribbean","2. High income: nonOECD","Cayman Islands","pct_change",0.687496579784733
"172",58,"Coastal Protection","#9e9ac8","Cyprus","CYP","Asia","Europe & Central Asia","2. High income: nonOECD","Cyprus","year_1992",1.28201544284821
"173",58,"Coastal Protection","#9e9ac8","Cyprus","CYP","Asia","Europe & Central Asia","2. High income: nonOECD","Cyprus","year_2020",1.27309703826904
"174",58,"Coastal Protection","#9e9ac8","Cyprus","CYP","Asia","Europe & Central Asia","2. High income: nonOECD","Cyprus","pct_change",-0.695655003917598
"175",59,"Coastal Protection","#9e9ac8","Czechia","CZE","Europe","Europe & Central Asia","1. High income: OECD","Czech Republic","year_1992",NA
"176",59,"Coastal Protection","#9e9ac8","Czechia","CZE","Europe","Europe & Central Asia","1. High income: OECD","Czech Republic","year_2020",NA
"177",59,"Coastal Protection","#9e9ac8","Czechia","CZE","Europe","Europe & Central Asia","1. High income: OECD","Czech Republic","pct_change",NA
"178",60,"Coastal Protection","#9e9ac8","Germany","DEU","Europe","Europe & Central Asia","1. High income: OECD","Germany","year_1992",0.96269279718399
"179",60,"Coastal Protection","#9e9ac8","Germany","DEU","Europe","Europe & Central Asia","1. High income: OECD","Germany","year_2020",0.94623863697052
"180",60,"Coastal Protection","#9e9ac8","Germany","DEU","Europe","Europe & Central Asia","1. High income: OECD","Germany","pct_change",-1.70918077517571
"181",61,"Coastal Protection","#9e9ac8","Djibouti","DJI","Africa","Middle East & North Africa","4. Lower middle income","Djibouti","year_1992",1.64283883571625
"182",61,"Coastal Protection","#9e9ac8","Djibouti","DJI","Africa","Middle East & North Africa","4. Lower middle income","Djibouti","year_2020",1.64398729801178
"183",61,"Coastal Protection","#9e9ac8","Djibouti","DJI","Africa","Middle East & North Africa","4. Lower middle income","Djibouti","pct_change",0.0699071796065313
"184",62,"Coastal Protection","#9e9ac8","Dominica","DMA","North America","Latin America & Caribbean","3. Upper middle income","Dominica","year_1992",1.34469413757324
"185",62,"Coastal Protection","#9e9ac8","Dominica","DMA","North America","Latin America & Caribbean","3. Upper middle income","Dominica","year_2020",1.34576225280762
"186",62,"Coastal Protection","#9e9ac8","Dominica","DMA","North America","Latin America & Caribbean","3. Upper middle income","Dominica","pct_change",0.0794318354289643
"187",63,"Coastal Protection","#9e9ac8","Denmark","DNK","Europe","Europe & Central Asia","1. High income: OECD","Denmark","year_1992",1.10408782958984
"188",63,"Coastal Protection","#9e9ac8","Denmark","DNK","Europe","Europe & Central Asia","1. High income: OECD","Denmark","year_2020",1.10147082805634
